Timestamp,Milliseconds,X,Y,Z,act
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34252,-0.021742582,-0.004838944,0.088668466,W
2019/10/18 9:01,34501,0.1685605,-0.13607407,-0.007426351,W
2019/10/18 9:01,34752,-0.09268379,-0.012310982,0.088701755,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52079,-0.16918075,-0.025673866,-0.03192249,W
2019/10/18 9:02,52251,-1.0746903,0.510725,-1.604523,W
2019/10/18 9:02,52502,-2.6621141,8.57113,7.356715,W
2019/10/18 9:02,52751,-1.6909815,-0.004957199,-0.23801118,W
2019/10/18 9:02,69081,1.1211361,0.05212307,-0.88590336,W
2019/10/18 9:02,69081,1.1211361,0.05212307,-0.88590336,W
2019/10/18 9:02,69081,1.1211361,0.05212307,-0.88590336,W
2019/10/18 9:02,69081,1.1211361,0.05212307,-0.88590336,W
